revenuePerShareTTM,netIncomePerShareTTM,operatingCashFlowPerShareTTM,freeCashFlowPerShareTTM,cashPerShareTTM,bookValuePerShareTTM,tangibleBookValuePerShareTTM,shareholdersEquityPerShareTTM,interestDebtPerShareTTM,marketCapTTM,enterpriseValueTTM,peRatioTTM,priceToSalesRatioTTM,pocfratioTTM,pfcfRatioTTM,pbRatioTTM,ptbRatioTTM,evToSalesTTM,enterpriseValueOverEBITDATTM,evToOperatingCashFlowTTM,evToFreeCashFlowTTM,earningsYieldTTM,freeCashFlowYieldTTM,debtToEquityTTM,debtToAssetsTTM,netDebtToEBITDATTM,currentRatioTTM,interestCoverageTTM,incomeQualityTTM,dividendYieldTTM,dividendYieldPercentageTTM,payoutRatioTTM,salesGeneralAndAdministrativeToRevenueTTM,researchAndDevelopementToRevenueTTM,intangiblesToTotalAssetsTTM,capexToOperatingCashFlowTTM,capexToRevenueTTM,capexToDepreciationTTM,stockBasedCompensationToRevenueTTM,grahamNumberTTM,roicTTM,returnOnTangibleAssetsTTM,grahamNetNetTTM,workingCapitalTTM,tangibleAssetValueTTM,netCurrentAssetValueTTM,investedCapitalTTM,averageReceivablesTTM,averagePayablesTTM,averageInventoryTTM,daysSalesOutstandingTTM,daysPayablesOutstandingTTM,daysOfInventoryOnHandTTM,receivablesTurnoverTTM,payablesTurnoverTTM,inventoryTurnoverTTM,roeTTM,capexPerShareTTM,dividendPerShareTTM,debtToMarketCapTTM,symbol,name,sector
54.03496503496503,16.216783216783217,22.825174825174827,22.375291375291376,13.846153846153847,27.435897435897434,-3.839160839160839,27.435897435897434,16.044289044289044,141090144183.0,142744144183.0,20.784023285899096,6.086456329882231,14.76659007352941,14.698421104594228,12.285,12.285,6.157807867779647,14.93139583504184,14.577629103656045,14.870730720179186,0.048113879889580824,0.06803451832574275,0.5638062871707732,0.2307852820477151,0.17301255230125523,1.018724970234874,34.016194331983804,1.407503234152652,0.0,0.0,0.0,0.06936715413485182,0.1809671713903628,0.4666133407525909,0.019709967320261437,0.0083257840472801,0.22652582159624413,0.0817048444847073,100.05371069683804,0.35267178769789376,0.4536089196061811,-22.084498834498834,173000000,-1647000000,-7572000000,15805000000,1914000000.0,348500000,0,32.95565333678444,48.850277998411435,0.0,11.07548972766364,7.471810089020772,0.0,0.5519457336665476,0.44988344988344986,0.0,0.04703376014268454,ADBE,Adobe Inc.,Technology
35.45600991325898,8.465923172242874,9.23915737298637,7.26270136307311,8.691449814126393,24.168525402726146,19.22924411400248,24.168525402726146,8.707558859975217,183818747038.0,185197747038.0,27.253968091334894,6.4243087770593785,24.973056598712446,31.363034812830577,9.5467140073831,9.5467140073831,6.472503653514137,19.971718649627952,24.8387536263412,31.598318894045384,0.03669190470351872,0.031884669515174005,0.34674938474159145,0.19768495513139048,0.14871131241238003,2.50133198021058,32.66287878787879,1.1032849955608168,0.007454600615437959,0.745460061543796,0.19730679156908665,0.030860098556600147,0.12270646209764792,0.11651223290754435,0.2139216738197425,0.05574389263621431,3.7006960556844546,0.021913116415615278,67.85056951148086,0.24324321824665182,0.22603804797353186,-0.570631970260223,11835000000,15518000000,5011000000,20464000000,6165000000.0,1786000000,5731500000,73.63016810540664,43.81981676280964,143.844927044452,4.957207207207207,8.329564725833805,2.5374547959359393,0.3591489138005809,1.976456009913259,1.7200000000000002,0.03679167717644118,AMAT,Applied Materials,Technology
14.306565656565656,2.639646464646465,3.584090909090909,3.3555555555555556,4.352777777777778,11.829040404040404,-5.421212121212121,11.829040404040404,7.887878787878788,292350666898.0,312520666898.0,28.018903664019895,5.160282890846189,20.635637285986046,22.001103770168573,6.252409111286638,6.252409111286638,5.516303648427296,19.70620259146226,22.019352279151693,23.519014667218542,0.035690190165582274,0.04545226505207916,0.6328160023909656,0.24239723282988937,1.2718330285642223,0.9977754962354551,7.635279347143754,1.3577920214292547,0.022038939967550027,2.203893996755003,0.6158040753850569,0.05281180499170403,0.16415434038196774,0.5585938458267575,0.06376382723877969,0.015974158929643097,0.3219494841693348,0.06426730680975748,26.505676851580727,0.11955823636501427,0.19364579473879215,-12.129419191919192,-78000000,-21468000000,-40462000000,71647000000,11348500000.0,2394000000,2998000000,73.84527129593673,46.72,58.47392405063291,4.942767405339382,7.8125,6.242098609355247,0.22775281204891468,0.22853535353535354,1.63,0.10139535618142553,CSCO,Cisco,Technology
6.96707030229114,1.0685599790922555,1.0545343671051486,0.8406655632023695,0.2509800505270494,3.392717135638993,3.392717135638993,3.392717135638993,0.45692133461102885,47025725061.0,47254925061.0,38.341319908690686,5.8800531492341355,38.85127054935977,48.73132130673575,12.075866735139298,12.075866735139298,5.9087121051578615,26.26586907953977,39.037525866171,48.96883426010363,0.02608152255533941,0.02052068306758138,0.13282834766979074,0.10110822273908879,0.12739703184925796,4.258556502942236,224.48611111111111,0.9868742866460134,0.02135709055406395,2.135709055406395,0.7949616827001468,0.0,0.0,0.0,0.20280875671210244,0.030697092841512973,1.3699776785714286,0.0010128165051578619,9.031596725346944,0.2737529490715189,0.2397435646854172,0.8172968028573918,2713400000,3894500000,2324300000,4141000000,1335750000.0,332050000,1724550000,61.48977805564239,28.688793653688336,143.34412327892767,5.935945966006086,12.722737819025522,2.5463199442767586,0.326908085418263,0.213868803902779,0.875,0.011000362021616422,FAST,Fastenal,Industrials
39.52805058522804,14.114354903807346,19.781918471680346,10.49603121216198,13.724202879052873,48.84649535853626,29.91295573792547,48.84649535853626,8.483384905152697,3799308624060.9995,3831015624060.9995,36.214194944334295,12.931087307737599,25.83874767918715,48.69847115450478,10.464210303077042,10.464210303077042,13.039003253988943,22.536579136901363,26.054418379212315,49.10488257765614,0.027613481441106834,0.02053452554654781,0.16678601725258624,0.0951613182033186,0.1865216393809084,1.4005303860855136,54.353058776489405,1.4015460576483147,0.00649528504910592,0.649528504910592,0.23521618118041787,0.025036417845424964,0.11262303786094509,0.22115624867408082,0.4694128768558002,0.2349189277497175,1.7328713815872059,0.0412678855867017,124.5484939860578,0.21939872642481756,0.21167915612427313,-17.627808421902326,54070000000,222343000000,-84209000000,450455000000,61399500000.0,30152000000,1034000000,65.70973956135215,129.57450286025608,4.4941432852083905,5.554732105720876,2.816912216083487,81.21681415929204,0.31525435697645854,9.285887259518365,3.32,0.015938689375350874,MSFT,Microsoft,Technology
16.087753401832824,4.481255206886976,5.928353235212441,5.3393501805054155,4.640099972229936,11.02638156067759,-6.775340183282421,11.02638156067759,14.400444321021938,40011731022.0,44224331022.0,24.78769783726839,6.906671791410619,18.73707513584411,20.810178926509597,10.074021054752428,10.074021054752428,7.633834672029275,17.27445452208898,20.71591297639123,23.00116035887034,0.04034259278796341,0.048053407110600264,1.2646955120132977,0.3013622997059353,1.6454825983360024,1.268113400760307,13.432317073170731,1.3229224762967093,0.037990637378465975,3.7990637378465975,0.9197496436760241,0.0,0.0,0.38470863589989795,0.09935356942102305,0.03661188980183663,0.7735229759299781,0.005868949803217565,33.34322525031063,0.16877162675053817,0.1573942219534557,-26.435642876978616,1911300000,-2439800000,-3652400000,8911300000,1988850000.0,125200000,0,126.17991783470276,27.962774742726463,0.0,2.892694861936386,13.0530679933665,0.0,0.3999033511142501,0.5890030547070259,4.220000000000001,0.12550319298205143,PAYX,Paychex,Industrials
40.40510948905109,5.055656934306569,11.553832116788321,10.604014598540147,9.26551094890511,19.348540145985403,7.937956204379562,19.348540145985403,14.119525547445255,189213570000.0,198504570000.0,34.94501353546291,4.272729879866317,15.291030561478323,16.28063758389262,9.130921437329055,9.130921437329055,4.482534775539698,13.296575122245294,15.675951196398957,17.080069695405268,0.02861638611143131,0.061422655890906765,0.6984344053569744,0.29537522685120554,0.6223457699778954,2.8164916885389326,18.606927710843372,1.094184740343904,0.019697741552046188,1.9697741552046188,0.6850748962281177,0.0,0.20418209737151116,0.24940669684701752,0.08220800758114191,0.023507361575286784,0.6233532934131737,0.0636121398247674,46.91418310116465,0.13186241609177296,0.14722214841778036,-11.206888686131387,16610000000,8700000000,-3183000000,33806000000,3862500000.0,2564000000,6432000000,35.565328335290396,51.611865437227685,120.68041341574629,10.262804171494786,7.0720171981368685,3.0245173153539686,0.2151364258466556,0.9498175182481752,3.48,0.07827662677682155,QCOM,Qualcomm,Technology
16.355081751023818,3.8958985813569975,5.461886581906213,4.053726535881928,1.3726552534387668,26.12265121760747,-2.1211743801520617,26.122651215384177,5.188624134230257,62253007743.0,63809489005.0,35.49373709616308,8.462607108598766,25.317259508479196,34.14306067831889,5.293490268650986,5.293490268650986,8.674193502088052,19.61103545725395,25.974018633198657,34.996722792003794,0.028173984533967293,0.029288528331468767,0.18501828074456633,0.12190476189354649,0.4783647337348455,0.6138725077008422,13.442725830630089,1.4129042512386634,0.016813711310384727,1.681371131038473,0.5784536515702515,0.2724216107861693,0.0,0.712380952369737,0.25781568743405514,0.08609923601958408,0.7095412139529572,0.0,47.85239801466823,0.11585689327735768,0.34164791644342324,-10.397641442958571,-1373659650,-954069065,-3899195355,11686596789,1071197267.5,920030932,0,52.196516263387736,127.37452626406461,0.0,6.992803852237595,2.865565122835516,0.0,0.143939924475216,1.4081600438009922,2.325,0.034920061115351335,TRI,Thomson Reuters Corporation,Industrials
8.2272512953796,1.3699265666670783,1.4853635741841023,1.4698760951417769,4.88358437494064,9.623330306328926,9.220274988567247,9.623330306328926,0.8576463345501361,203852765945.0,202553765945.0,114.30539695348118,19.05878514818624,105.42200086333311,106.67662078255137,16.27191367389897,16.27191367389897,18.93733787817876,132.38808231699346,104.89165097162707,105.99685109802365,0.008748493305237106,0.009374125208169002,0.08912157301574615,0.07414056785690538,-0.8490196078431372,13.626262626262626,0.0,1.075252221853297,0.0,0.0,0.0,0.04281974569932685,0.1399588631264024,0.03484274220360396,0.010426725511727282,0.0018824608264771878,0.6266312218427472,0.030198204936424833,17.2227540348569,0.1455189360960023,0.12270065449534964,3.167522516302655,6250000000,11987000000,4217000000,6919000000,1173666280.5,420433492,0,13.513462976813763,0.0,0.0,27.01010101010101,0.0,0.0,0.15070557372102217,0.015487478273135798,0.0,0.005469633903818749,SHOP,Shopify,Technology
32.62034533768619,3.2786038563558457,3.115053050397878,1.849354723525811,30.30831718016731,38.61138033054479,26.720516221179352,38.61138033054479,27.626747092430115,44940299492.0,45615563492.0,173.70503572609348,17.568825235138824,182.82513677488026,309.8924933422517,14.74979643629758,14.74979643629758,17.83281090808016,146.71346438266283,186.742389536169,314.54887629896774,0.005756885491660982,0.003226925535416501,0.6932986541160928,0.3153101865377668,2.1718534909750544,3.124132974743097,-0.3660252215811076,0.9501157159804742,0.0,0.0,0.0,0.0,0.24427658479012743,0.14006051943974832,0.4063167806116183,0.038800886801459135,1.3431173541193029,0.21756542428195627,53.36953213347756,-0.00667095569041714,0.04490796482961978,-5.683508467659661,2867006000,2095316000,587121000,4082648000,827282000.0,116552500,313002500,123.38548693351764,41.341558666690304,114.14828746412313,2.958208530608374,8.82888821253098,3.1975950590999425,0.09661894752823932,1.265698326872067,0.0,0.046709412792713484,AXON,Axon Enterprise Inc.,Industrials
